node_id,filtered_tilt,filtered_vibration,filtered_strain,status
NODE_01,0.1019,0.1082,0.165,SAFE
NODE_01,0.2329,0.2848,0.0235,SAFE
NODE_01,0.1875,0.2256,0.1571,SAFE
NODE_01,0.0116,0.0992,0.1329,SAFE
NODE_01,0.1736,0.0152,0.067,SAFE
NODE_01,0.075,0.2515,0.1963,SAFE
NODE_01,0.045,0.1784,0.1971,SAFE
NODE_01,0.1932,0.0478,0.1732,SAFE
NODE_01,0.1415,0.118,0.1979,SAFE
NODE_01,0.0253,0.0469,0.0687,SAFE
NODE_01,0.1171,0.1101,0.1618,SAFE
NODE_01,0.6583,0.6534,1.0441,WARNING
NODE_01,0.0901,0.2797,0.0097,SAFE
NODE_01,0.1064,0.142,0.0493,SAFE
NODE_01,0.0492,0.1736,0.1645,SAFE
NODE_01,0.0709,0.0387,0.0777,SAFE
NODE_01,0.1483,0.0104,0.093,SAFE
NODE_01,9.1787,2.0173,4.3547,DANGER
NODE_01,1.154,0.5551,1.2344,WARNING
NODE_01,1.96,1.1449,1.7964,WARNING
NODE_01,7.9872,2.596,3.4577,DANGER
NODE_01,0.0354,0.0992,0.0101,SAFE
NODE_01,0.2838,0.296,0.1703,SAFE
NODE_01,10.0067,3.2255,2.3601,DANGER
NODE_01,0.2227,0.089,0.1438,SAFE
NODE_01,6.205,3.4059,5.1657,DANGER
NODE_01,0.1158,0.0134,0.0538,SAFE
NODE_01,2.6273,0.548,1.4797,WARNING
NODE_01,0.1367,0.0782,0.1076,SAFE
NODE_01,1.0844,0.3732,1.6676,WARNING
NODE_01,0.2147,0.1643,0.0054,SAFE
NODE_01,0.0343,0.1571,0.0067,SAFE
NODE_01,0.2051,0.0307,0.1468,SAFE
NODE_01,0.2537,0.2193,0.1006,SAFE
NODE_01,0.5508,0.9198,0.7072,WARNING
NODE_01,0.2279,0.1309,0.0534,SAFE
NODE_01,0.1927,0.2179,0.151,SAFE
NODE_01,0.1161,0.2752,0.1713,SAFE
NODE_01,0.2131,0.2038,0.147,SAFE
NODE_01,0.1242,0.0626,0.1632,SAFE
NODE_01,0.0157,0.2072,0.0846,SAFE
NODE_01,0.2427,0.2525,0.1539,SAFE
NODE_01,3.2618,1.057,1.461,WARNING
NODE_01,0.0065,0.2095,0.1452,SAFE
NODE_01,11.3018,3.7305,5.1957,DANGER
NODE_01,0.1326,0.2025,0.0278,SAFE
NODE_01,0.0606,0.0998,0.0221,SAFE
NODE_01,0.2118,0.117,0.1223,SAFE
NODE_01,0.1369,0.0157,0.0223,SAFE
NODE_01,0.2796,0.2269,0.1273,SAFE
NODE_01,0.0565,0.2675,0.1679,SAFE
NODE_01,2.9706,0.692,0.7928,WARNING
NODE_01,0.1949,0.021,0.1059,SAFE
NODE_01,3.3868,0.3658,0.4808,WARNING
NODE_01,0.2255,0.2646,0.0684,SAFE
NODE_01,2.7402,0.5899,1.1548,WARNING
NODE_01,0.1561,0.0389,0.118,SAFE
NODE_01,4.6583,4.9927,2.3955,DANGER
NODE_01,0.1468,0.0411,0.1038,SAFE
NODE_01,0.1662,0.2243,0.131,SAFE
NODE_01,0.091,0.1608,0.0436,SAFE
NODE_01,1.8638,0.5412,0.4922,WARNING
NODE_01,0.1637,0.1995,0.0835,SAFE
NODE_01,0.2269,0.081,0.0506,SAFE
NODE_01,0.1934,0.0966,0.1678,SAFE
NODE_01,1.7995,0.9422,0.7392,WARNING
NODE_01,0.1042,0.2329,0.0952,SAFE
NODE_01,14.2211,3.2077,5.5351,DANGER
NODE_01,0.2735,0.1354,0.0661,SAFE
NODE_01,0.1498,0.0269,0.0192,SAFE
NODE_01,0.2996,0.1803,0.0062,SAFE
NODE_01,0.2768,0.0864,0.1464,SAFE
NODE_01,0.0948,0.1927,0.1855,SAFE
NODE_01,0.0463,0.2216,0.1411,SAFE
NODE_01,0.2955,0.2999,0.0542,SAFE
NODE_01,3.0967,1.0834,1.1881,WARNING
NODE_01,0.2811,0.1947,0.0991,SAFE
NODE_01,0.1062,0.2953,0.0639,SAFE
NODE_01,1.4654,1.1146,0.6511,WARNING
NODE_01,0.2891,0.089,0.0984,SAFE
NODE_01,12.2339,4.6867,6.791,DANGER
NODE_01,0.0534,0.1849,0.157,SAFE
NODE_01,0.15,0.1445,0.0185,SAFE
NODE_01,0.1656,0.049,0.1404,SAFE
NODE_01,0.1559,0.2884,0.1868,SAFE
NODE_01,0.1112,0.2361,0.1343,SAFE
NODE_01,0.1058,0.22,0.0129,SAFE
NODE_01,0.2719,0.0193,0.0882,SAFE
NODE_01,4.2892,2.5317,2.4881,DANGER
NODE_01,1.5702,0.5175,0.6862,WARNING
NODE_01,1.4323,0.4049,0.8252,WARNING
NODE_01,2.8147,0.6458,1.7757,WARNING
NODE_01,9.4591,4.9334,4.8761,DANGER
NODE_01,0.2304,0.1075,0.0289,SAFE
NODE_01,0.1333,0.2407,0.1575,SAFE
NODE_01,0.1397,0.0126,0.1267,SAFE
NODE_01,13.8831,4.0821,2.8665,DANGER
NODE_01,1.4652,1.0533,1.1582,WARNING
NODE_01,2.9523,0.8937,1.1273,WARNING
NODE_01,0.7835,0.5086,0.7655,WARNING
NODE_01,0.011,0.2012,0.1853,SAFE
NODE_01,0.2575,0.0305,0.0252,SAFE
NODE_01,0.093,0.1311,0.0966,SAFE
NODE_01,1.308,0.7338,1.7392,WARNING
NODE_01,0.0265,0.0567,0.1994,SAFE
NODE_01,0.2938,0.2479,0.167,SAFE
NODE_01,0.0541,0.2597,0.118,SAFE
NODE_01,0.6349,0.8537,0.749,WARNING
NODE_01,12.4402,2.631,7.6714,DANGER
NODE_01,0.2256,0.2055,0.0013,SAFE
NODE_01,0.0254,0.0103,0.059,SAFE
NODE_01,0.2587,0.1996,0.1914,SAFE
NODE_01,0.047,0.1013,0.1436,SAFE
NODE_01,0.243,0.1999,0.1223,SAFE
NODE_01,1.2455,1.0268,1.3365,WARNING
NODE_01,0.0613,0.0584,0.1869,SAFE
NODE_01,3.4105,0.4704,0.5187,WARNING
NODE_01,0.1714,0.1912,0.0713,SAFE
NODE_01,0.2826,0.0269,0.0697,SAFE
NODE_01,0.2033,0.2744,0.1878,SAFE
NODE_01,2.5477,0.8945,1.3058,WARNING
NODE_01,0.0134,0.1353,0.1231,SAFE
NODE_01,2.3291,0.7539,0.6452,WARNING
NODE_01,0.2376,0.1559,0.0651,SAFE
NODE_01,0.0653,0.1777,0.1564,SAFE
NODE_01,0.2641,0.1071,0.0802,SAFE
NODE_01,0.1734,0.1526,0.1961,SAFE
NODE_01,0.0708,0.1056,0.0941,SAFE
NODE_01,10.1193,5.826,5.8593,DANGER
NODE_01,0.1265,0.1115,0.0022,SAFE
NODE_01,0.2856,0.1693,0.1042,SAFE
NODE_01,0.0197,0.2683,0.0348,SAFE
NODE_01,0.1844,0.2527,0.1869,SAFE
NODE_01,0.1514,0.13,0.1218,SAFE
NODE_01,1.9358,0.8936,1.24,WARNING
NODE_01,9.7296,2.0051,6.8894,DANGER
NODE_01,0.1573,0.2523,0.113,SAFE
NODE_01,0.0707,0.2564,0.0807,SAFE
